perturbation_id,expected_outcome,observed_outcome_full_review,missed_by_full_review,failure_reason_codes_full_review
boundary_locally_consistent_cross_run_lineage,reject,accept,1,
boundary_under_specified_pack_still_admissible,reject,accept,1,
